Welches Fach gibt es nur in der Mechatronik?;ETE;D;AM;DBI;TINF;Die Schüler der Mechatronikabteilung können dir sicher helfen.;Mechatronik;Which subject is there only in mechatronics?;ETE;D;AM;DBI;TINF;Students from the mechatronics department can help you
Wie viele Religionslehrer gibt es?;4;1;2;5;3;Es gibt römisch-katholische und evangelische Lehrer!;Religion;How many teachers are there for religious education?;4;1;2;5;3;There are roman-catholic and protestant teachers
Wie viele Jahre hat man Religion?;5;2;3;4;1;Die Religionsleher können dir sicher weiterhelfen.;Religion;How many years do you have Religious education?;5;2;3;4;1;The Religious education theacher can help you
Wie heißt einer der Religionslehrer mit Nachnamen?;Pabst;Bischof;Pfarrer;Priester;Inquisitor;Die Religionsleher können dir sicher weiterhelfen.;Religion;What is one of the Religious education teacher's last name?;Pabst;Bischof;Pfarrer;Priester;Inquisitor;The Religious education theacher can help you
Welche Religion wird neben römisch-katholisch unterrichtet?;evangelisch;buddhistisch;islamisch;jüdisch;hinduistisch;Die Religionsleher können dir sicher weiterhelfen.;Religion;Which religion is taught besides Roman Catholic?;protestant;buddhist;islamic;jewish;hinduistic;The Religious education theacher can help you
Wie heißt die Lehrerin, die römisch-katholisch unterrichtet?;Ulz;Traumüller-Haynaly;Meixner;Mayr;Primig;Die Religionsleher können dir sicher weiterhelfen.;Religion;How's the teacher called, who teaches Roman Catholic?;Ulz;Traumüller-Haynaly;Meixner;Mayr;Primig;The Religious education theacher can help you
Wer unterrichtet im CISCO Lab?;Gugerbauer;Primig;Meixner;Ulz;Reiner;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;Who is teaching in the CISCO lab?;Gugerbauer;Primig;Meixner;Ulz;Reiner;Students and Teachers in the CISCO Lab can help you
Wer unterrichtet im CISCO Lab?;Haynaly;Primig;Meixner;Ulz;Reiner;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;Who is teaching in the CISCO lab?;Haynaly;Primig;Meixner;Ulz;Reiner;Students and Teachers in the CISCO Lab can help you
Von welcher Firma sind die meisten Geräte im CISCO Lab?;CISCO;HP;Netgear;Huawei;Ubiquiti;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;From which company are most of the devices in the CISCO lab?;CISCO;HP;Netgear;Huawei;Ubiquiti;Students and Teachers in the CISCO Lab can help you
Ab wann gibt es Übungen im CISCO Lab?;3. Jahr;1. Jahr;2. Jahr;4. Jahr;5. Jahr;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;Since when are there lessons in the CISCO lab?;3. year;2. year;1. year;4. year;5. year;Students and Teachers in the CISCO Lab can help you
Wie oft finden Laborübungen in der 3. und 4. Klasse statt?;alle 2 Wochen;jede Woche;einmal im Jahr;einmal im Monat;nie;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;How often are lessons in the CISCO lab held?;every 2 weeks;every week;once a year;once a month;never;Students and Teachers in the CISCO Lab can help you
Ab welchem Jahr kann man in der HTL Spanisch lernen?;2.;1.;3.;4.;5.;Am Spanisch-Stand wirst du die richtige Antwort erfahren.;Spanisch;In which year can you start learning Spanish?;2.;1.;3.;4.;5.;You'l get the right answer on the spanish booth
Begrüße jemanden auf Spanisch.;Hola!;Adios!;Hast la vista!;Huevos!;Domingo!;Am Spanisch-Stand oder in einem Online-Wörterbuch wirst du die richtige Antwort erfahren.;Spanisch;Greet someone in Spanish.;Hola!;Adios!;Hast la vista!;Huevos!;Domingo!;You'l get the right answer on the spanish booth or google
Wohin fahren Spanisch-Schüler auf Sprachreise?;Barcelona;Madrid;Buenos Aires;Santiago;Montevideo;Am Spanisch-Stand wirst du die richtige Antwort erfahren.;Spanisch;Where are Spanish-students going?;Barcelona;Madrid;Buenos Aires;Santiago;Montevideo;You'l get the right answer on the spanish booth
Wer unterrichtet Spanisch?;Mayr;Traumüller-Haynaly;Primig;Chemloul;Stadlhofer;Schüler am Spanisch Stand können dir sicher helfen.;Spanisch;Who's teaching Spanish?;Mayr;Traumüller-Haynaly;Primig;Chemloul;Stadlhofer;You'l get the right answer on the spanish booth
Wer unterrichtet Spanisch?;Pichler;Traumüller-Haynaly;Primig;Chemloul;Stadlhofer;Schüler am Spanisch Stand können dir sicher helfen.;Spanisch;Who's teaching Spanish?;Pichler;Traumüller-Haynaly;Primig;Chemloul;Stadlhofer;You'l get the right answer on the spanish booth
"Was lernt man in ""Betriebswirtschaft und Management""?";reich werden;Geld drucken;einkaufen;betrügen;gar nichts;Schüler oder Leher am BWM Stand können dir sicher helfen.;Betriebswirtschaft;"What do you learn in ""Business Studies""?";becoming rich;printing money;buying things;betray people;nothing;People in the business studies room can help you.
"Was ist die Abkürzung für das Fach ""Betriebswirtschaft und Management""?";BWM;BWMA;BMW;BW;BM;Schüler oder Leher am BWM Stand können dir sicher helfen.;Betriebswirtschaft;"What's the abbreviation for the subject ""Business Studies""?";BWM;BWMA;BMW;BW;BM;People in the business studies room can help you.
"Welcher Lehrer unterrichtet ""Betriebswirtschaft und Management""?";Köppel;Chemloul;Stückler;Ulz;Primig;Schüler oder Leher am BWM Stand können dir sicher helfen.;Betriebswirtschaft;"Who teaches ""Business Studies""?";Köppel;Chemloul;Stückler;Ulz;Primig;People in the business studies room can help you.
"Welcher Lehrer unterrichtet ""Betriebswirtschaft und Management""?";Karner;Chemloul;Stückler;Ulz;Primig;Schüler oder Leher am BWM Stand können dir sicher helfen.;Betriebswirtschaft;"Who teaches ""Business Studies""?";Karner;Chemloul;Stückler;Ulz;Primig;People in the business studies room can help you.
"Welcher Lehrer unterrichtet ""Betriebswirtschaft und Management""?";Eder-Skof;Chemloul;Stückler;Ulz;Primig;Schüler oder Leher am BWM Stand können dir sicher helfen.;Betriebswirtschaft;"Who teaches ""Business Studies""?";Eder-Skof;Chemloul;Stückler;Ulz;Primig;People in the business studies room can help you.
Welchen Freigegenstand kann man bereits ab der 2. Klasse besuchen?;Spanisch;Multimedia;Lagerlogistik;NVS-Security;Java-Zertifizierung;Falls es keinen eigenen Stand für Zertifizierungen gibt, dann frage die auf die Antworten bezogenen Lehrer;Freigegenstände;Which voluntary subjects can you attend from the 2nd year on?;Spanish;Multimedia;Lagerlogistik;NVS-Security;Java-Zertifizierung;If there isn't a booth for certifications, ask the teachers at their booths
Welchen Freigegenstand gibt es?;Spanisch;Französisch;Russisch;Italienisch;Slowenisch;Suche alle Freigegenstand-Stände ab.;Freigegenstände;Which voluntary subjects are there?;Spanish;French;Russian;Italian;Slowenian;Look at every booth for voluntary subjects
"Wer unterrichtet den Freigegenstand ""Multimedia""?";Weber;Gugerbauer;Stadler;Grassmugg;Haynaly;Frage Schüler der Multimedia Gruppe (im Klassenraum der 3CHIF).;Freigegenstände;"Who is teaching the voluntary subject ""Multimedia""?";Haynaly;Gugerbauer;Stadler;Grassmugg;Hagauer;Ask the students in the multimedia room(3CHIF)
Ab welchem Jahrgang gibt es Freigegenstände?;2.;3.;1.;4.;5.;Frag einen Schüler;Freigegenstände;From which year on do we have voluntary subjects?;2.;1.;3.;4.;5.;Ask a student
Wer ist zuständig für die Bibliothek?;Staines;Traumüller-Haynaly;Meixner;Dreisiebner-Tausendschön;KANZLEITUSSI;Frag in der Bibliothek nach!;Bibliothek;Who is in charge of the library?;Staines;Traumüller-Haynaly;Meixner;Dreisiebner-Tausendschön;KANZLEITUSSI;Ask someone in the library!
Wann ist die Bibliothek nicht offen?;Sonntag;Montag;Dienstag;Mittwoch;Freitag;Vor der Bibliothek hängt ein Zettel mit der richtigen Antwort.;Bibliothek;When is the library closed?;Sunday;Monday;Tuesday;Wednesday;Friday;In front of the library is a sheet witch the correct answer.
Wie viele Stunden ist die Bibliothek geöffnet?;10;2;24;11;9;In fast jeder Klasse gibt es einen Infozettel.;Bibliothek;How many hours is the library opened?;10;2;24;11;9;There is an information sheet in nearly every class.
Was ist das Formelzeichen für Wasserstoff?;H;W;CO?;H?O;Qv;Chemiesaal!;Chemie-Saal;What is the chemical formula for hydrogen?;H;W;CO?;H?O;Qv;Chemistry-lab
Was ist das Formelzeichen für Darmstadtium?;Ds;Da;Du;Db;Dc;Chemiesaal!;Chemie-Saal;What is the chemical formula for darmstadtium?;Ds;Da;Du;Db;Dc;Chemistry-lab
Was ist das Formelzeichen für Wismut?;Bi;Wi;Ws;W;Mu;Chemiesaal!;Chemie-Saal;What is the chemical formula for bismuth?;Bi;Wi;Ws;W;Mu;Chemistry-lab
Wie heißt die beliebteste Chemieprofessorin an unserer Schule?;Chemloul;Poklitsch;Ulz;Taucher;Traumüller-Haynaly;Schüler fragen!;Chemie-Saal;Who's the most favourite female Chemistry teacher?;Chemloul;Poklitsch;Ulz;Taucher;Traumüller-Haynaly;Ask students!
Was gibt es nicht zu trinken?;Sprite;Balance;Eistee;Mineral;Eiskaffee;"Nachschauen ;)";Cafeteria;What drinks can't you buy at the cafeteria?;Sprite;Balance;Icetea;Mineral;Ice coffee;"Ask ;)"
Wie heißt eine der Frauen bei der Kantine?;Katarina;Ingrid;Stefanie;Laura;Walburga;"Nachfragen ;)";Cafeteria;What is one woman at the buffet called?;Katarina;Ingrid;Stefanie;Laura;Walburga;"Ask ;)"
Was gibt es nicht zu essen?;Pommes;Bremsklötze;Schnitzelsemmel;Berner-Dog;Hot-Fisch;Manche Begriffe sind von der Schule erfunden worden.;Cafeteria;What food can't you buy at the cafeteria?;french fries;Bremsklötze;Schnitzelsemmel;Berner-Dog;Hot-Fisch;Some words were invented in this school.
Wie viel kostet ein Cola?;1,20 €;1,00 €;1,10 €;1,50 €;0,80 €;Kantine!;Cafeteria;How much is a Coke?;1,20 €;1,00 €;1,10 €;1,50 €;0,80 €;Cafeteria
Wie viel kostet ein Tagesmenü?;6,00 €;5,00 €;4,00 €;7,00 €;8,00 €;Kantine!;Cafeteria;How much is a menu of the day?;6,00 €;5,00 €;4,00 €;7,00 €;8,00 €;Cafeteria
Wie viele Toiletten gibt es in der Schule?;18? kann das sein?;;;;;Zähle die WC-Räume (beim Turnsaal-Trakt gibt es insgesamt 4 Toiletten);FUN;How many toiletts are there in our school?;WE DON'T KNOW YET;;;;;Count the toiletts (there are 4 in the gym tract).
Wie heißt Prof. Wolfgang Pölzleitner mit Vornamen?;Wolfgang;Sigrun;Adolf;Brunhilde;Gustavo;Bitte unbedingt einen Lehrer in deiner Nähe um Rat!;FUN;What is Prof. Wolfgang Pölzleitners first name?;Wolfgang;Sigrun;Adolf;Brunhilde;Gustavo;Ask a teacher near you for help!
"Wie viel kostet ein ""Coffe-to-Go""?";1,10 €;0,50 €;0,70 €;0,99 €;1,20 €;"Suche den ""Coffe-to-Go"" Automaten im Automatisierertrakt auf.";FUN;"How much is a ""coffe-to-go""?";1,10 €;0,50 €;0,70 €;0,99 €;1,20 €;Look for the Coffe-to-Go automat in the automation tract.
Was ist das Motto der Schule?;Leistung mit Menschlichkeit;Leistung!;Leistung weil Baum;Leistung durch Leistung;Leistung mit Patschenpflicht;Besuche die Schulwebsite.;FUN;What's the slogan of this school?;Leistung mit Menschlichkeit;Leistung!;Leistung weil Baum;Leistung durch Leistung;Leistung mit Patschenpflicht;Visit our website!
An welchem Fluss liegt Kaindorf/Sulm?;Sulm;Mur;Donau;Enns;Pazifik;Steht am Ortsschild.;FUN;Which river is near Kaindorf/Sulm?;Sulm;Mur;Denube (Donau);Enns;Pazific;It's on the city-limit sign.
Wie viele Fragen wurden bis jetzt gestellt?;COUNT(questions);COUNT(questions)-1;COUNT(questions)+1;COUNT(questions)+2;COUNT(questions)-2;Wir wissen die Antwort selber nicht, wir können dir leider nicht helfen!;FUN;How many questions were there until now?;COUNT(questions);;;;;We're sorry but we don't know the answer, we can't help you.
